name,address,county,ig_xcord,ig_ycord,shortname
Abbey Haven Care Centre & Nursing Home,"Abbey Haven Care Centre & Nursing Home, Carrick Road, Boyle, Roscommon, Roscommon",Roscommon,181885.281,302267.625,Abbey Haven
AbbeyBreaffy Nursing Home,"AbbeyBreaffy Nursing Home, Dublin Road, Castlebar, Co. Mayo, Mayo",Mayo,119310.316084,292487.685574,AbbeyBreaffy 
Abbeygale House,"Farnogue Residential Healthcare Unit, Old Hospital Road, Co Wexford, Wexford",Wexford,303521.756,122155.765,Abbeygale House
Abbeylands Nursing Home & Alzheimer Unit,"Abbeylands Nursing Home & Alzheimer Unit, Carhoo, Kildorrery, Co. Cork, Cork",Cork,170635.1378,110208.837443,Abbeylands 
Abbot Close Nursing Home,"Abbot Close Nursing Home, St. Marys Terrace, Askeaton, Co. Limerick, Limerick",Limerick,133874.415294,150329.145245,Abbot Close 
Aclare House Nursing Home,"Aclare House, 4/5 Tivoli Terrace South, Dun Laoghaire, Co. Dublin, A96fx74",Dublin,323842.357603872,228137.814944817,Aclare House 
Acorn Lodge,"Acorn Lodge, Ballykelly, Cashel, Co. Tipperary, Tipperary",Tipperary,210354.813868,145383.928609,Acorn Lodge
Adare and District Nursing Home,"Adare and District Nursing Home, Croagh, Co. Limerick, Limerick",Limerick,141078.162946,143045.418889,Adare and District 
Ailesbury Private Nursing Home,"58 Park Avenue, Dublin 4, D04y437",Dublin,319096.004599555,232004.075945003,Ailesbury Private 
Aisling House Nursing Home ,"Seabank, Arklow, Co. Wicklow, Y14x670",Wicklow,326210.000604239,175852.312892155,Aisling House 
Altadore Nursing Home,"Altadore, Glenageary Road Upper, Glenageary, Co. Dublin, A96ew77",Dublin,324719.610604702,226982.302942724,Altadore 
Alzheimer Care Centre,"Alzheimer Care Centre, Highfield Hospital, Swords Road, Whitehall, Dublin 9 Dublin 9",Dublin,316625.725847,238112.115732,Alzheimer Care Centre
Amberley Home and Retirement Cottages,"Amberley Home and Retirement Cottages, Acres, Fermoy, Co. Cork, Cork",Cork,177544.077178,100066.677825,Amberley Home
An Teaghlach Uilinn,"Cill RÃ¡inne, Maigh Chuilinn, Co. na Gaillimhe",Galway,121671.045238525,233178.374471947,An Teaghlach Uilinn
Annabeg Nursing Home,"Meadow Court, Ballybrack, Glenageary, Co. Dublin, A96kw54",Dublin,324829.067209821,224108.167872943,Annabeg 
Aonad Altranas Pobail-ArÃ¡s RÃ³nÃ¡in,"Mainistir, OileÃ¡in Ãrann, Co. na Gaillimhe",Galway,87144.8632943342,209996.395206455,Aonad Altranas Pobail
Araglen House Nursing and Convalescent Home,"Araglen House Nursing and Convalescent Home, Loumanagh, Boherbue, Mallow, Co Cork Cork",Cork,125815.045367,100537.836508,Araglen House 
Aras Ghaoth Dobhair,"MÃ­n an Iolair, DoirÃ­ Beaga, Co. DhÃºn na nGall",Donegal,181296.898818743,425320.135443991,Aras Ghaoth Dobhair
Aras Mathair Phoil,"Aras Mathair Phoil, Castlerea, Co. Roscommon, Roscommon",Roscommon,167653.168855,279933.728848,Aras Mathair Phoil
Aras Mhic Dara,"An CheathrÃº Rua, Co. na Gaillimhe",Galway,92755.3618497078,224606.342741653,Aras Mhic Dara
Aras Mhic Shuibhne Nursing Home,"Aras Mhic Shuibhne Nursing Home, Mullinasole, Laghey, Co. Donegal, Donegal",Donegal,192772.823725,373329.308368,Aras Mhic Shuibhne 
Aras Mhuire Community Nursing Unit,"Aras Mhuire Community Nursing Unit, Dublin Road, Tuam, Co. Galway, Galway",Galway,143821.440762,251531.791087,Aras Mhuire
Aras Mhuire Nursing Facility,"Aras Mhuire Nursing Home, Medical Missionaries of Mary, Beechgrove, Drogheda, Louth Louth",Louth,308898.013908,275970.702682,Aras Mhuire 
Aras Mhuire Nursing Home,"Aras Mhuire Nursing Home, Greenville, Listowel, Co. Kerry, Kerry",Kerry,98262.9378088,133805.615057,Aras Mhuire 
Aras Ui Dhomhnaill,"Aras Ui Dhomhnaill, Loughnakey, Milford, Co. Donegal, Donegal",Donegal,220222.530377,424943.133361,Aras Ui Dhomhnaill
Archersrath Nursing Home,"Archersrath Nursing Home, Archersrath, Kilkenny, Kilkenny, Kilkenny",Kilkenny,253387.192678,156859.345953,Archersrath 
Archview Lodge,"NURSING HOME, DRUMANY, LETTERKENNY, CO. DONEGAL",Donegal,219816.298843993,410618.859031947,Archview Lodge
Ard Na Ri Nursing Home,"Ard Na RÃ­ Nursing Home, Holycross, Bruff, Co. Limerick, Limerick",Limerick,162811.24588,136099.308584,Ard Na Ri 
Ardeen Nursing Home,"Ardeen Nursing Home, Abbey Road, Thurles, Co. Tipperary, Tipperary",Tipperary,211645.005041,158275.1981,Ardeen 
Ardsley Nursing Home,"Ardsley Nursing Home, Rocky Road, Farran, Co. Cork, Cork",Cork,150531.27956,69327.1638159,Ardsley 
Arus Breffni Nursing Unit,"Arus Breffni Nursing Unit, Manorhamilton, Co. Leitrim, Leitrim",Leitrim,188871.989613,339824.020622,Arus Breffni 
Arus Carolan Community Nursing Unit,"Arus Carolan Community Nursing Unit, Mohill, Co. Leitrim, Leitrim",Leitrim,208896.65476,296969.400931,Arus Carolan
Asgard Lodge Nursing Home,"Asgard Lodge Nursing Home, Monument Lane, Kilbride, Arklow, Co. Wicklow Wicklow",Wicklow,324568.553541,174855.063976,Asgard Lodge 
Ashborough Lodge,"Ashborough Lodge, Lyre Road, Milltown, Co. Kerry, Kerry",Kerry,82454.0504461,100079.447111,Ashborough Lodge
Ashbury Private Nursing Home,"1a Kill Lane, Kill O' The Grange, Blackrock, Co. Dublin, A94rk81",Dublin,322783.501603399,227108.987935396,Ashbury Private 
Ashford House Nursing Home,"Ashford House Nursing  Home, 6 Tivoli Terrace East, Dun Laoghaire, Co. Dublin, Co. Dublin",Dublin,324040.227689,228167.163344,Ashford House 
Ashlawn House Nursing Home,"Ashlawn House Nursing Home, Limerick Road, Nenagh, Co. Tipperary, Tipperary",Tipperary,181502.780183,176114.546941,Ashlawn House 
Ashley Lodge Nursing Home,"Tully East, Kildare, R51vw22",Kildare,273531.625553016,209999.499921443,Ashley Lodge 
Athlunkard House Nursing Home at St. Nicholas,"Athlunkard House Nursing Home at St. Nicholas, Athlunkard, Westbury, Co. Clare, Clare",Clare,159075.312536,159363.408294,Athlunkard House 
Atlanta Nursing Home,"Sidmonton Road, Bray, Co. Wicklow, A98kw25",Wicklow,326739.88060655,218394.567928193,Atlanta 
Ave Maria Nursing Home,"Ave Maria Nursing Home, Tooreen, Ballyhaunis, Co. Mayo, Mayo",Mayo,148924.415735,286727.165843,Ave Maria 
Bailey House Nursing Home,"Bailey House Nursing Home, Killenaule, Thurles, Co. Tipperary, Tipperary",Tipperary,222085.970407,146519.936804,Bailey House 
Bailey's Nursing Home,"Bailey's Nursing Home, Mountain Road, Tubbercurry, Co. Sligo, Sligo",Sligo,152465.049187,311276.07914,Bailey's 
Ballard Lodge Nursing Home,"Ballard Lodge Nursing Home, Borris Road, Portlaoise, Co. Laois, Laois",Laois,247440.831391,198686.535256,Ballard Lodge 
Ballinamore House Nursing Home,"Ballinamore House Nursing Home, Ballinamore, Kiltimagh, Co. Mayo, Mayo",Mayo,131324.080628,287099.335968,Ballinamore House 
Ballincollig Community Nursing Unit,"Ballincollig Community Nursing Unit, Murphy's Barracks, Ballincollig, Cork, Cork",Cork,159575.96403,70762.9316711,Ballincollig
Ballincurrig Care Centre Limited,"Ballincurrig Care Centre, Ballincurrig, Leamlara, Co. Cork, Cork",Cork,184511.683132,81724.8970868,Ballincurrig
Ballinderry Nursing Home,"Ballinderry Nursing Home, Kilconnell, Ballinasloe, Co. Galway, Galway",Galway,173041.457903,230576.357809,Ballinderry 
Ballygar Nursing Home,"Ballygar Nursing Home, Ballygar, Co. Galway, Galway",Galway,178172.568138,252591.560414,Ballygar 
Baltinglass District Hospital,"Baltinglass District Hospital, Baltinglass, Co. Wicklow, Wicklow",Wicklow,286792.530379,188575.770219,Baltinglass District Hospital
Bandon Community Hospital,"Bandon Community Hospital, Bandon, Co. Cork, Cork",Cork,149151.360719,55168.1509896,Bandon Community Hospital
